event_id,commence_time,home_team,away_team,completed,home_score,away_score,last_update
fd8533b650e655030f6a7946f8795db2,2026-06-23T03:00:00Z,Jordan,Algeria,True,1.0,2.0,2026-06-25T20:52:59Z
8ba93d190f1f934e33862a97a6353a6e,2026-06-23T17:00:00Z,Portugal,Uzbekistan,True,5.0,0.0,2026-06-26T09:36:50Z
2f49dd8deae3079dc4eb2d634d18a99c,2026-06-23T20:00:00Z,England,Ghana,True,0.0,0.0,2026-06-26T09:36:50Z
c1bc8c26480cd42b89a0de5329581314,2026-06-23T23:00:00Z,Panama,Croatia,True,0.0,1.0,2026-06-26T20:43:18Z
68bfc965eb267508e04d8e8d75c1a0ae,2026-06-24T02:00:00Z,Colombia,DR Congo,True,1.0,0.0,2026-06-26T20:43:18Z
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia and Herzegovina,Qatar,True,3.0,1.0,2026-06-27T10:27:18Z
c9ef5822ee64fd5275f7c73251bb56c7,2026-06-24T19:00:00Z,Switzerland,Canada,True,2.0,1.0,2026-06-27T10:27:18Z
d1279ce7f33136a33e99ad442fc855e8,2026-06-24T22:00:00Z,Morocco,Haiti,True,4.0,2.0,2026-06-27T10:27:18Z
885ba95805db310a7bcc3fb1a7a6dd28,2026-06-24T22:01:00Z,Scotland,Brazil,True,0.0,3.0,2026-06-27T10:27:18Z
5993bd5196ca09f83990f0c3261e442e,2026-06-25T01:00:00Z,Czechia,Mexico,True,0.0,3.0,2026-06-27T10:27:18Z
c0355dfc6e26ec327e379b6ef5824a5f,2026-06-25T01:00:00Z,South Africa,South Korea,True,1.0,0.0,2026-06-27T10:27:18Z
a5a0b544a984ab16e564264f3e859b43,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,True,0.0,2.0,2026-06-27T10:27:18Z
0ec28b84ec399bd4dffbe8d1bc72b3c4,2026-06-25T20:00:00Z,Ecuador,Germany,True,2.0,1.0,2026-06-27T10:27:18Z
0ed0233bddc4eafc8507f86a9c17b998,2026-06-25T23:00:00Z,Japan,Sweden,True,1.0,1.0,2026-06-27T10:27:18Z
f3c4657daa143a0c5bd62cb370d01ce4,2026-06-25T23:00:00Z,Tunisia,Netherlands,True,1.0,3.0,2026-06-27T10:27:18Z
22f6ac06dfcc88a847920f62633e6459,2026-06-26T02:00:00Z,Paraguay,Australia,True,0.0,0.0,2026-06-27T10:27:18Z
f41aeac9a8343a84b4950f15ea25fba2,2026-06-26T02:00:00Z,Turkey,United States,True,3.0,2.0,2026-06-27T10:27:18Z
b86b4d60f773e9e3c46c00e9a6496e79,2026-06-26T19:01:00Z,Norway,France,True,1.0,4.0,2026-06-29T02:10:50Z
7e6aee294ea1a4792c59558791084528,2026-06-26T19:02:00Z,Senegal,Iraq,True,5.0,0.0,2026-06-29T02:10:50Z
e07b1926be5a4d515c7eb108dbcee9c5,2026-06-27T00:01:00Z,Cape Verde,Saudi Arabia,True,0.0,0.0,2026-06-29T02:10:50Z
dcff2e31c0bce001a4db5caaf4fa8822,2026-06-27T00:01:00Z,Uruguay,Spain,True,0.0,1.0,2026-06-29T02:10:50Z
3e3b5fa2b3c963e74cf044c60db0b573,2026-06-27T03:00:00Z,Egypt,Iran,True,1.0,1.0,2026-06-29T02:10:50Z
581691da05dcd75b5c6d3be91ee9d2ab,2026-06-27T03:01:00Z,New Zealand,Belgium,True,1.0,5.0,2026-06-29T02:10:50Z
