match_id,date,competition,league_name,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff,home_expected_score,away_expected_score,elo_home_change,elo_away_change,home_lambda,away_lambda,model_home_prob,model_draw_prob,model_away_prob,top_score_1,top_score_1_prob,top_score_2,top_score_2_prob,top_score_3,top_score_3_prob
E0_2324_0,2023-08-11,E0,Premier League,Burnley,Man City,0,3,A,1500.0,1500.0,1474.8175751227918,1525.1824248772082,0.0,0.6062878237854281,0.3937121762145719,-25.182424877208263,25.182424877208263,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
SP1_2324_1,2023-08-11,SP1,La Liga,Sevilla,Valencia,1,2,A,1500.0,1500.0,1481.8113652864372,1518.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-18.188634713562845,18.188634713562845,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
SP1_2324_0,2023-08-11,SP1,La Liga,Almeria,Vallecano,0,2,A,1500.0,1500.0,1477.3987749819578,1522.6012250180422,0.0,0.6062878237854281,0.3937121762145719,-22.601225018042133,22.601225018042133,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
F1_2324_0,2023-08-11,F1,Ligue 1,Nice,Lille,1,1,D,1500.0,1500.0,1496.8113652864372,1503.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-3.1886347135628434,3.1886347135628434,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
SP1_2324_4,2023-08-12,SP1,La Liga,Ath Bilbao,Real Madrid,0,2,A,1500.0,1500.0,1477.3987749819578,1522.6012250180422,0.0,0.6062878237854281,0.3937121762145719,-22.601225018042133,22.601225018042133,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
F1_2324_1,2023-08-12,F1,Ligue 1,Marseille,Reims,2,1,H,1500.0,1500.0,1511.8113652864372,1488.1886347135628,0.0,0.6062878237854281,0.3937121762145719,11.811365286437155,-11.811365286437155,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
F1_2324_2,2023-08-12,F1,Ligue 1,Paris SG,Lorient,0,0,D,1500.0,1500.0,1496.8113652864372,1503.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-3.1886347135628434,3.1886347135628434,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
SP1_2324_3,2023-08-12,SP1,La Liga,Las Palmas,Mallorca,1,1,D,1500.0,1500.0,1496.8113652864372,1503.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-3.1886347135628434,3.1886347135628434,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
SP1_2324_2,2023-08-12,SP1,La Liga,Sociedad,Girona,1,1,D,1500.0,1500.0,1496.8113652864372,1503.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-3.1886347135628434,3.1886347135628434,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
E0_2324_6,2023-08-12,E0,Premier League,Newcastle,Aston Villa,5,1,H,1500.0,1500.0,1517.5422754692374,1482.4577245307626,0.0,0.6062878237854281,0.3937121762145719,17.542275469237428,-17.542275469237428,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
E0_2324_5,2023-08-12,E0,Premier League,Sheffield United,Crystal Palace,0,1,A,1500.0,1500.0,1481.8113652864372,1518.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-18.188634713562845,18.188634713562845,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
E0_2324_4,2023-08-12,E0,Premier League,Everton,Fulham,0,1,A,1500.0,1500.0,1481.8113652864372,1518.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-18.188634713562845,18.188634713562845,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
E0_2324_3,2023-08-12,E0,Premier League,Brighton,Luton,4,1,H,1500.0,1500.0,1516.353004153807,1483.646995846193,0.0,0.6062878237854281,0.3937121762145719,16.353004153806882,-16.353004153806882,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
E0_2324_2,2023-08-12,E0,Premier League,Bournemouth,West Ham,1,1,D,1500.0,1500.0,1496.8113652864372,1503.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-3.1886347135628434,3.1886347135628434,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
E0_2324_1,2023-08-12,E0,Premier League,Arsenal,Nott'm Forest,2,1,H,1500.0,1500.0,1511.8113652864372,1488.1886347135628,0.0,0.6062878237854281,0.3937121762145719,11.811365286437155,-11.811365286437155,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
F1_2324_7,2023-08-13,F1,Ligue 1,Rennes,Metz,5,1,H,1500.0,1500.0,1517.5422754692374,1482.4577245307626,0.0,0.6062878237854281,0.3937121762145719,17.542275469237428,-17.542275469237428,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
F1_2324_4,2023-08-13,F1,Ligue 1,Clermont,Monaco,2,4,A,1500.0,1500.0,1477.3987749819578,1522.6012250180422,0.0,0.6062878237854281,0.3937121762145719,-22.601225018042133,22.601225018042133,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
F1_2324_3,2023-08-13,F1,Ligue 1,Brest,Lens,3,2,H,1500.0,1500.0,1511.8113652864372,1488.1886347135628,0.0,0.6062878237854281,0.3937121762145719,11.811365286437155,-11.811365286437155,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
F1_2324_6,2023-08-13,F1,Ligue 1,Nantes,Toulouse,1,2,A,1500.0,1500.0,1481.8113652864372,1518.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-18.188634713562845,18.188634713562845,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
F1_2324_5,2023-08-13,F1,Ligue 1,Montpellier,Le Havre,2,2,D,1500.0,1500.0,1496.8113652864372,1503.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-3.1886347135628434,3.1886347135628434,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
SP1_2324_6,2023-08-13,SP1,La Liga,Villarreal,Betis,1,2,A,1500.0,1500.0,1481.8113652864372,1518.1886347135628,0.0,0.6062878237854281,0.3937121762145719,-18.188634713562845,18.188634713562845,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
F1_2324_8,2023-08-13,F1,Ligue 1,Strasbourg,Lyon,2,1,H,1500.0,1500.0,1511.8113652864372,1488.1886347135628,0.0,0.6062878237854281,0.3937121762145719,11.811365286437155,-11.811365286437155,1.35,1.35,0.37090676905408276,0.2581864618918345,0.3709067690540827,1-1,0.1224850539194387,1-0,0.09072966956995457,0-1,0.09072966956995457
