match_id,date,competition,home_team,away_team,home_goals,away_goals,result,status,league_name,home_elo,away_elo,elo_diff,home_expected_score,away_expected_score,home_elo_after,away_elo_after,elo_home_change,elo_away_change
E0_2324_0,2023-08-11,E0,Burnley,Man City,0,3,A,finished,Premier League,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1481.8113652864372,1518.1886347135628,-18.188634713562806,18.188634713562806
F1_2324_0,2023-08-11,F1,Nice,Lille,1,1,D,finished,Ligue 1,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1496.8113652864372,1503.1886347135628,-3.1886347135628057,3.1886347135628057
SP1_2324_0,2023-08-11,SP1,Almeria,Vallecano,0,2,A,finished,La Liga,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1481.8113652864372,1518.1886347135628,-18.188634713562806,18.188634713562806
SP1_2324_1,2023-08-11,SP1,Sevilla,Valencia,1,2,A,finished,La Liga,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1481.8113652864372,1518.1886347135628,-18.188634713562806,18.188634713562806
E0_2324_1,2023-08-12,E0,Arsenal,Nott'm Forest,2,1,H,finished,Premier League,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1511.8113652864372,1488.1886347135628,11.811365286437194,-11.811365286437194
E0_2324_2,2023-08-12,E0,Bournemouth,West Ham,1,1,D,finished,Premier League,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1496.8113652864372,1503.1886347135628,-3.1886347135628057,3.1886347135628057
E0_2324_3,2023-08-12,E0,Brighton,Luton,4,1,H,finished,Premier League,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1511.8113652864372,1488.1886347135628,11.811365286437194,-11.811365286437194
E0_2324_4,2023-08-12,E0,Everton,Fulham,0,1,A,finished,Premier League,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1481.8113652864372,1518.1886347135628,-18.188634713562806,18.188634713562806
E0_2324_5,2023-08-12,E0,Sheffield United,Crystal Palace,0,1,A,finished,Premier League,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1481.8113652864372,1518.1886347135628,-18.188634713562806,18.188634713562806
E0_2324_6,2023-08-12,E0,Newcastle,Aston Villa,5,1,H,finished,Premier League,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1511.8113652864372,1488.1886347135628,11.811365286437194,-11.811365286437194
F1_2324_1,2023-08-12,F1,Marseille,Reims,2,1,H,finished,Ligue 1,1500.0,1500.0,0.0,0.6062878237854281,0.3937121762145719,1511.8113652864372,1488.1886347135628,11.811365286437194,-11.811365286437194
