match_id,date,group,home_team_forecast,away_team_forecast,rank,score,home_goals,away_goals,score_probability,home_xg,away_xg,home_prob,draw_prob,away_prob,forecast_as_of,matchup_key,home_team,away_team,stage,commence_time
58,2026-06-22,J,Jordan,Algeria,1,0-1,0,1,0.1195586071640148,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
58,2026-06-22,J,Jordan,Algeria,2,1-1,1,1,0.1101134771980576,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
58,2026-06-22,J,Jordan,Algeria,3,0-2,0,2,0.1063473810723912,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
58,2026-06-22,J,Jordan,Algeria,4,1-2,1,2,0.0979459379676723,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
58,2026-06-22,J,Jordan,Algeria,5,0-0,0,0,0.0672055127397497,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
58,2026-06-22,J,Jordan,Algeria,6,0-3,0,3,0.0630639969759279,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
58,2026-06-22,J,Jordan,Algeria,7,1-0,1,0,0.0618962772333095,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
58,2026-06-22,J,Jordan,Algeria,8,1-3,1,3,0.0580819412148296,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
58,2026-06-22,J,Jordan,Algeria,9,2-1,2,1,0.0507072562497055,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
58,2026-06-22,J,Jordan,Algeria,10,2-2,2,2,0.045104104434113,0.921,1.779,0.1928796886537425,0.232103659145436,0.5750166522008214,2026-06-15T11:15:23-07:00,algeria||jordan,Jordan,Algeria,Group Stage,2026-06-23T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,1,1-0,1,0,0.1214403615207278,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,2,2-0,2,0,0.1097213666339775,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,3,1-1,1,1,0.1084462428380099,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,4,2-1,2,1,0.0979811804041419,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,5,0-0,0,0,0.0672055127397497,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,6,3-0,3,0,0.0660888365025324,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,7,0-1,0,1,0.0600145228765965,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,8,3-1,3,1,0.0590173309967615,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,9,1-2,1,2,0.0484212474271714,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,-,Switzerland,Algeria,10,2-2,2,2,0.0437485970504494,1.807,0.893,0.5883611345617102,0.2286983304590461,0.1829405349792436,2026-06-28T08:34:51Z,algeria||switzerland,Switzerland,Algeria,Round of 32,2026-07-03T03:00:00Z
57,2026-06-22,J,Argentina,Austria,1,2-0,2,0,0.1353535491929181,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
57,2026-06-22,J,Argentina,Austria,2,1-0,1,0,0.1348814640686778,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
57,2026-06-22,J,Argentina,Austria,3,2-1,2,1,0.0938000095906922,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
57,2026-06-22,J,Argentina,Austria,4,1-1,1,1,0.0934728545995937,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
57,2026-06-22,J,Argentina,Austria,5,3-0,3,0,0.0905515244100622,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
57,2026-06-22,J,Argentina,Austria,6,0-0,0,0,0.0672055127397497,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
57,2026-06-22,J,Argentina,Austria,7,3-1,3,1,0.0627522064161731,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
57,2026-06-22,J,Argentina,Austria,8,0-1,0,1,0.0465734203286465,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
57,2026-06-22,J,Argentina,Austria,9,4-0,4,0,0.0454342273727487,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
57,2026-06-22,J,Argentina,Austria,10,2-2,2,2,0.0325017033231748,2.007,0.693,0.6812242929797637,0.1995881760935918,0.1191875309266444,2026-06-15T11:15:23-07:00,argentina||austria,Argentina,Austria,Group Stage,2026-06-22T17:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,1,2-0,2,0,0.1581268115346784,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,2,3-0,3,0,0.1494825458374493,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,3,1-0,1,0,0.1115139714631019,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,4,4-0,4,0,0.1059831249987516,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,5,2-1,2,1,0.0632507246138713,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,6,5-0,5,0,0.0601136284992919,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,7,3-1,3,1,0.0597930183349797,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,8,1-1,1,1,0.0446055885852407,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,9,4-1,4,1,0.0423932499995006,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,-,Argentina,Cape Verde,10,0-0,0,0,0.0393208644087101,2.836,0.4,0.8666238451697061,0.1009034579397494,0.0324726968905444,2026-06-27T08:14:34Z,argentina||cape verde,Argentina,Cape Verde,Round of 32,2026-07-03T22:00:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,1,2-0,2,0,0.1766782189765902,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,2,1-0,1,0,0.1541022407122461,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,3,3-0,3,0,0.1350410520377738,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,4,4-0,4,0,0.0774122830806538,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,5,2-1,2,1,0.0719080351234722,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,6,0-0,0,0,0.0672055127397497,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,7,1-1,1,1,0.0627196119698842,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,8,3-1,3,1,0.0549617081793739,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,9,5-0,5,0,0.0355012730207878,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
190922affd0be754bfefd71548dbf90d,2026-07-07T16:00:00Z,-,Argentina,Egypt,10,4-1,4,1,0.0315067992138261,2.293,0.407,0.8011747569082348,0.1475277123985995,0.0512975306931656,2026-07-04T08:08:53Z,argentina||egypt,Argentina,Egypt,Round of 16,2026-07-07T16:01:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,1,1-1,1,1,0.1211077614381788,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,2,0-1,0,1,0.1003378305204463,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,3,1-2,1,2,0.0904069439136004,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,4,1-0,1,0,0.0811170538768779,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,5,0-2,0,2,0.0749021904835132,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,6,2-1,2,1,0.0730885340279409,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,7,0-0,0,0,0.0672055127397497,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,8,2-2,2,2,0.0545605906518579,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,9,2-0,2,0,0.0489541420146958,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
ced22494ae0bbb8cc4f7108bf6f493df,2026-07-15T19:00:00Z,-,England,Argentina,10,1-3,1,3,0.0449925224210018,1.207,1.493,0.3068536456525714,0.2554185732511336,0.4377277810962949,2026-07-12T07:39:44Z,argentina||england,England,Argentina,Semifinal,2026-07-15T19:00:00Z
60,2026-06-27,J,Jordan,Argentina,1,0-2,0,2,0.1594675882612218,0.4,2.807,0.0332300918223316,0.1029343947590905,0.8638355134185778,2026-06-15T11:15:23-07:00,argentina||jordan,Jordan,Argentina,Group Stage,2026-06-28T02:00:00Z
60,2026-06-27,J,Jordan,Argentina,2,0-3,0,3,0.1492085067497499,0.4,2.807,0.0332300918223316,0.1029343947590905,0.8638355134185778,2026-06-15T11:15:23-07:00,argentina||jordan,Jordan,Argentina,Group Stage,2026-06-28T02:00:00Z
60,2026-06-27,J,Jordan,Argentina,3,0-1,0,1,0.1136213667696628,0.4,2.807,0.0332300918223316,0.1029343947590905,0.8638355134185778,2026-06-15T11:15:23-07:00,argentina||jordan,Jordan,Argentina,Group Stage,2026-06-28T02:00:00Z
60,2026-06-27,J,Jordan,Argentina,4,0-4,0,4,0.1047070696116369,0.4,2.807,0.0332300918223316,0.1029343947590905,0.8638355134185778,2026-06-15T11:15:23-07:00,argentina||jordan,Jordan,Argentina,Group Stage,2026-06-28T02:00:00Z
60,2026-06-27,J,Jordan,Argentina,5,1-2,1,2,0.0637870353044887,0.4,2.807,0.0332300918223316,0.1029343947590905,0.8638355134185778,2026-06-15T11:15:23-07:00,argentina||jordan,Jordan,Argentina,Group Stage,2026-06-28T02:00:00Z
60,2026-06-27,J,Jordan,Argentina,6,1-3,1,3,0.0596834026998999,0.4,2.807,0.0332300918223316,0.1029343947590905,0.8638355134185778,2026-06-15T11:15:23-07:00,argentina||jordan,Jordan,Argentina,Group Stage,2026-06-28T02:00:00Z
60,2026-06-27,J,Jordan,Argentina,7,0-5,0,5,0.058782548879973,0.4,2.807,0.0332300918223316,0.1029343947590905,0.8638355134185778,2026-06-15T11:15:23-07:00,argentina||jordan,Jordan,Argentina,Group Stage,2026-06-28T02:00:00Z
60,2026-06-27,J,Jordan,Argentina,8,1-1,1,1,0.0454485467078651,0.4,2.807,0.0332300918223316,0.1029343947590905,0.8638355134185778,2026-06-15T11:15:23-07:00,argentina||jordan,Jordan,Argentina,Group Stage,2026-06-28T02:00:00Z
60,2026-06-27,J,Jordan,Argentina,9,1-4,1,4,0.0418828278446548,0.4,2.807,0.0332300918223316,0.1029343947590905,0.8638355134185778,2026-06-15T11:15:23-07:00,argentina||jordan,Jordan,Argentina,Group Stage,2026-06-28T02:00:00Z
